-2.2	-0.266
-2.09	-0.265
-1.98	-0.2656
-1.87	-0.2654
-1.76	-0.2656
-1.65	-0.2655
-1.54	-0.2652
-1.43	-0.2653
-1.32	-0.2652
-1.21	-0.2658
-1.1	-0.2656
-0.99	-0.2648
-0.88	-0.2661
-0.77	-0.2653
-0.66	-0.2651
-0.55	-0.2647
29.93	0.0706	0.169369
30.04	0.0707	0.169832
30.15	0.0704	0.169895
30.26	0.0693	0.169158
30.37	0.0689	0.169121
30.48	0.0691	0.169684
30.59	0.0689	0.169847
30.7	0.0689	0.17021
30.81	0.0677	0.169373
30.92	0.0678	0.169836
31.03	0.067	0.169399
31.14	0.0663	0.169062
31.25	0.067	0.170125
31.36	0.0663	0.169788
31.47	0.0655	0.169351
31.58	0.0648	0.169014
31.69	0.0642	0.168777
31.8	0.0647	0.16964
31.91	0.0642	0.169503
32.02	0.0642	0.169866
32.13	0.0629	0.168929
32.24	0.0629	0.169292
32.35	0.0626	0.169355
32.46	0.0623	0.169418
32.57	0.0612	0.168681
32.68	0.0612	0.169044
32.79	0.0616	0.169807
32.9	0.0604	0.16897
33.01	0.061	0.169933
33.12	0.06	0.169296
33.23	0.0602	0.169859
33.34	0.0598	0.169822
33.45	0.0586	0.168985
33.56	0.0576	0.168348
33.67	0.0587	0.169811
33.78	0.058	0.169474
33.89	0.0571	0.168937
34	0.0569	0.1691
34.11	0.0571	0.169663
34.22	0.0559	0.168826
34.33	0.0564	0.169689
34.44	0.0551	0.168752
34.55	0.0551	0.169115
34.66	0.055	0.169378
34.77	0.0548	0.169541
34.88	0.0539	0.169004
34.99	0.0539	0.169367
35.1	0.0538	0.16963
35.21	0.0538	0.169993
35.31	0.0526	0.169123
35.42	0.0522	0.169086
35.53	0.0517	0.168949
35.64	0.0513	0.168912
35.75	0.0514	0.169375
35.86	0.0512	0.169538
35.97	0.0505	0.169201
36.08	0.05	0.169064
36.19	0.05	0.169427
36.3	0.0502	0.16999
36.41	0.049	0.169153
36.52	0.0489	0.169416
36.63	0.0488	0.169679
36.74	0.0487	0.169942
36.85	0.0481	0.169705
36.96	0.0479	0.169868
37.07	0.0475	0.169831
37.18	0.0472	0.169894
37.29	0.0471	0.170157
37.4	0.0464	0.16982
37.51	0.0454	0.169183
37.62	0.045	0.169146
37.73	0.0448	0.169309
37.84	0.0447	0.169572
37.95	0.0438	0.169035
38.06	0.0434	0.168998
38.17	0.0431	0.169061
38.28	0.0428	0.169124
38.39	0.0422	0.168887
38.5	0.0422	0.16925
38.61	0.0414	0.168813
38.72	0.0408	0.168576
38.83	0.0409	0.169039
38.94	0.0404	0.168902
39.05	0.0403	0.169165
39.16	0.0396	0.168828
39.27	0.0394	0.168991
39.38	0.0392	0.169154
39.49	0.0391	0.169417
39.6	0.0388	0.16948
39.71	0.0384	0.169443
39.82	0.0375	0.168906
39.93	0.0373	0.169069
40.04	0.0361	0.168232
40.15	0.0364	0.168895
40.26	0.0363	0.169158
40.37	0.036	0.169221
40.48	0.0359	0.169484
40.59	0.0348	0.168747
40.7	0.034	0.16831
40.81	0.0348	0.169473
40.92	0.034	0.169036
41.03	0.0336	0.168999
41.14	0.0332	0.168962
41.25	0.0329	0.169025
41.36	0.0317	0.168188
41.47	0.032	0.168851
41.58	0.0317	0.168914
41.69	0.0315	0.169077
42	0.032	0.1706
